h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08428005860675401,0.345437114896896,1.4505362695148312,-0.017102889742804488
1,15.0,20.0,0.12114235088391133,0.3379876928076836,1.4579601930044899,-0.00967896625314601
2,20.0,25.0,0.16064854071474854,0.3308560576020396,1.445619743624935,-0.02201941563270078
3,25.0,30.0,0.19984753157532306,0.3232032574159195,1.4324551696546535,-0.035183989602982434
4,30.0,35.0,0.23760615433871238,0.31565509082825727,1.4142513432847472,-0.05338781597288845
5,35.0,40.0,0.27752839261233747,0.30656734510878825,1.3990405491087698,-0.06859861014886592
6,40.0,45.0,0.306117949960799,0.2986301588264784,1.3905918593540096,-0.07704729990362623
7,45.0,50.0,0.355804917827835,0.28590357973575237,1.3830173977341917,-0.08462176152344368
8,50.0,55.0,0.37271307596953407,0.2718823839824076,1.3729908138282945,-0.09464834542934097
9,55.0,60.0,0.42139234509502643,0.2551078949851854,1.364088998771016,-0.10355016048661984
10,60.0,65.0,0.45849460504687106,0.24294689867839955,1.349542845972005,-0.1180963132856305
11,65.0,70.0,0.497933793865061,0.2325074004346866,1.3373215228627504,-0.13031763639488536
