h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.0674603363092948,0.40142251577704513,-1.4853455214625586,0.0400999545828473
1,15.0,20.0,0.09160509597719292,0.4117723443520043,-1.5182585144066676,0.007186961638738676
2,20.0,25.0,0.1139185989711356,0.419267333348737,-1.5573469924053722,-0.03190151635996612
3,25.0,30.0,0.13380718921967294,0.4253646381980007,-1.5891424669486067,-0.06369699090320077
4,30.0,35.0,0.15765142749213723,0.42726729445295164,-1.620829061085406,-0.09538358504000008
5,35.0,40.0,0.18261436838721534,0.42727145600341737,-1.6681031224223026,-0.14265764637689626
6,40.0,45.0,0.19606999818641468,0.42368050689703757,-1.711637424394913,-0.18619194834950684
7,45.0,50.0,0.22053546380196315,0.4203110109038947,-1.7489625738902421,-0.2235170978448355
8,50.0,55.0,0.24060483899158278,0.41949458044025384,-1.7859883134785768,-0.2605428374331707
9,55.0,60.0,0.25936729956093124,0.4156924251488392,-1.8215947647769601,-0.29614928873155366
10,60.0,65.0,0.2781847218105797,0.41212619355377167,-1.8575396951878778,-0.3320942191424715
11,65.0,70.0,0.301933456773888,0.4050832235290003,-1.8836998451478175,-0.35825436910241115
