h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.04809738978851956,0.3570197775666535,1.3080390434186646,-0.2627548771189235
1,15.0,20.0,0.07190582682148662,0.3497149129401809,1.2852018366156441,-0.2855920839219441
2,20.0,25.0,0.09546629124783851,0.3405116402953473,1.2633744811015868,-0.3074194394360012
3,25.0,30.0,0.11920084726295749,0.33017162506444014,1.2481431690432478,-0.3226507514943404
4,30.0,35.0,0.14479438623052115,0.32340328186996226,1.2428394471227713,-0.3279544734148166
5,35.0,40.0,0.17203246879845846,0.3155320609554627,1.215691945723554,-0.35510197481403394
6,40.0,45.0,0.19909304298079433,0.3026018711987854,1.2039632474134812,-0.36683067312410694
7,45.0,50.0,0.2262885326587163,0.28346129928425434,1.1837429608604872,-0.38705095967710096
8,50.0,55.0,0.24423441715075062,0.27067886851636336,1.1606527041359014,-0.41014121640168677
9,55.0,60.0,0.2571981571358939,0.25874987812065614,1.1419527636464968,-0.42884115689109104
10,60.0,65.0,0.2827496252646107,0.24561775809373926,1.1174443646695016,-0.4533495558680866
11,65.0,70.0,0.3048949127229062,0.23086034404099262,1.090813011156412,-0.47998090938117627
