h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.11645895643716385,0.3480311396805419,1.506642379002755,-0.016581427653868944
1,15.0,20.0,0.15440318176964143,0.3419967030111844,1.491242461522107,-0.03198134513451707
2,20.0,25.0,0.19300682086565182,0.33575111664639307,1.482280506358907,-0.04094330029771683
3,25.0,30.0,0.23172105110407096,0.33054316962907976,1.4717304370166795,-0.051493369639944005
4,30.0,35.0,0.2702071633544553,0.3247395909568062,1.4616615566936448,-0.06156224996297903
5,35.0,40.0,0.30829517691952024,0.31819405492396136,1.4598622349493502,-0.0633615717072735
6,40.0,45.0,0.34479538458510206,0.31081471074587064,1.4634720017631764,-0.059751804893447495
7,45.0,50.0,0.3686791175506957,0.30222753738640884,1.4461051630483839,-0.0771186436082396
8,50.0,55.0,0.43288570803076737,0.28659160643865567,1.4416964947296662,-0.08152731192695746
9,55.0,60.0,0.4611758093340853,0.28019745613195945,1.4394739006578867,-0.08374990599873691
10,60.0,65.0,0.5000843370195619,0.27177989004434633,1.4335340301229913,-0.08968977653363223
11,65.0,70.0,0.5394647521048745,0.26313316429768746,1.4278244828531248,-0.09539932380349878
