h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.022078535118768783,0.35683036515300054,1.5365846656630435,-0.029348185437732887
1,15.0,20.0,0.02606415999563156,0.3550660977773365,1.5257085703596271,-0.040224280741149296
2,20.0,25.0,0.031939508602693574,0.3518887850137608,1.5220728854438548,-0.04385996565692187
3,25.0,30.0,0.03405381181431463,0.35426249725729525,1.5234239919385217,-0.04250885916225473
4,30.0,35.0,0.04068978605946388,0.35332603771997223,1.508151507418649,-0.05778134368212742
5,35.0,40.0,0.04769619681215609,0.3500254422025858,1.491761168627539,-0.07417168247323733
6,40.0,45.0,0.033441456362452,0.34541570995626325,1.4858154682832743,-0.0801173828175026
7,45.0,50.0,0.04655477598860324,0.33844395989630305,1.4884419214716544,-0.07749092962912198
8,50.0,55.0,0.04955267827336181,0.3332886652915647,1.4937749696790936,-0.07215788142168258
9,55.0,60.0,0.05303431713693112,0.33150193091159574,1.4914138885458197,-0.07451896255495669
10,60.0,65.0,0.05921752213197787,0.3314611140019135,1.4775710583451724,-0.08836179275560366
11,65.0,70.0,0.06950664571568602,0.32731758126382715,1.4798970941386835,-0.08603575696209292
