h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.08492942280064657,0.3756095538356241,1.4961248917709795,-0.06470775554086364
1,15.0,20.0,0.10307728999371851,0.38050951708999387,1.5060470616047181,-0.05478558570712483
2,20.0,25.0,0.12202750231565031,0.3808642698852794,1.4870343416055098,-0.07379830570633293
3,25.0,30.0,0.14205659644179397,0.38077243325998955,1.473684154583103,-0.08714849272873938
4,30.0,35.0,0.16319458988334856,0.3838914940942441,1.46331904952152,-0.09751359779032259
5,35.0,40.0,0.1835779271126616,0.38682915158400827,1.432519997690344,-0.1283126496214987
6,40.0,45.0,0.20171114636954232,0.38609855687952516,1.4239228191526194,-0.13690982815922317
7,45.0,50.0,0.22166650646548064,0.38787789836377684,1.3918975630243187,-0.16893508428752424
8,50.0,55.0,0.24400012811791824,0.38591860857926513,1.3696168827793946,-0.1912157645324482
9,55.0,60.0,0.2572456046616972,0.37907423547041624,1.3705207129836134,-0.19031193432822963
10,60.0,65.0,0.27824220616618844,0.3799108038263892,1.3869233908957872,-0.17390925641605556
11,65.0,70.0,0.2982533669548478,0.3818838781258131,1.4008034314506699,-0.16002921586117272
