h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.026128838413640845,0.3303400164110412,1.5861828322623777,0.01538890794911865
1,15.0,20.0,0.04521635474802108,0.3202851187159201,1.5869532997074896,0.016159375394230097
2,20.0,25.0,0.07261213237870924,0.309695339970162,1.635330807974982,0.06453688366172258
3,25.0,30.0,0.09373037316018332,0.3022047025930826,1.6525473784800768,0.08175345416681763
4,30.0,35.0,0.11417361394699911,0.29282386048640047,1.6751656620283735,0.10437173771511396
5,35.0,40.0,0.13224645428854198,0.28682635209613405,1.6843727373007562,0.11357881298749721
6,40.0,45.0,0.15184706106088647,0.28086101465024926,1.6739369804940722,0.10314305618081329
7,45.0,50.0,0.16589972921882093,0.2735790203020594,1.6825114911297456,0.11171756681648605
8,50.0,55.0,0.18421268597489035,0.2670968920898666,1.699397953717705,0.12860402940444546
9,55.0,60.0,0.2088322027809812,0.25892283305553776,1.7055674451109113,0.13477352079765237
10,60.0,65.0,0.23074703809759115,0.25395328580982535,1.715748120104951,0.1449541957916917
11,65.0,70.0,0.2537782764328735,0.24975208183390632,1.736545695144167,0.16575177083090809
