h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.031108230978198058,0.35488767661652276,1.77961023778927,0.2088163430293096
1,15.0,20.0,0.04006346734917751,0.35526038838741447,1.8706706771821997,0.2998767824222391
2,20.0,25.0,0.047717427865577394,0.35662045156013383,1.96267184458913,0.39187794982916935
3,25.0,30.0,0.05650316966659185,0.3585627678151755,2.0549100223462506,0.48411612758629047
4,30.0,35.0,0.06442519900811373,0.36106779513301945,2.145387927066519,0.5745940323065583
5,35.0,40.0,0.072897205706324,0.3644951493614292,2.235357092787586,0.6645631980276253
6,40.0,45.0,0.08079791316008254,0.36792575936375804,2.326423083524422,0.7556291887644617
7,45.0,50.0,0.08825722890656022,0.37178484683491725,2.4362345006562656,0.8654406058963053
8,50.0,55.0,0.09303863225115078,0.37111639273022085,2.530035049604802,0.9592411548448411
9,55.0,60.0,0.10162196239518322,0.3775598767410746,2.618470877358525,1.0476769825985648
10,60.0,65.0,0.10551635759604444,0.38372914171803596,2.7095967752536536,1.1388028804936932
11,65.0,70.0,0.10907231897744163,0.39021417181116946,2.7952837762146485,1.2244898814546883
