h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.06056360115947638,0.35852296908049014,1.624119496607655,0.053325572377359645
1,15.0,20.0,0.08805887501490998,0.3585232965972031,1.6554235616755009,0.08462963744520507
2,20.0,25.0,0.11312138557209009,0.35962241295597847,1.6960575518548844,0.12526362762458873
3,25.0,30.0,0.13985756648180186,0.36189740048318764,1.7192610110730309,0.14846708684273535
4,30.0,35.0,0.16773647903692676,0.3648700395259741,1.7480086036249673,0.17721467939467175
5,35.0,40.0,0.19541292308396294,0.36814068063185007,1.772134595595258,0.2013406713649621
6,40.0,45.0,0.2212138659846593,0.37211812325050636,1.8015301387550344,0.23073621452473833
7,45.0,50.0,0.2501703626700577,0.3766858478484958,1.8265819072477292,0.2557879830174334
8,50.0,55.0,0.268680701833094,0.37567417864411495,1.8490518272460434,0.2782579030157481
9,55.0,60.0,0.30516606963887893,0.38385832991190033,1.8665531460553282,0.2957592218250321
10,60.0,65.0,0.33271900922971176,0.39159156347557333,1.8922631718543987,0.3214692476241032
11,65.0,70.0,0.3608722074741337,0.40090891621059965,1.919378072073492,0.3485841478431968
