h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.05000286037803489,0.36205161910479916,-1.4727594613662698,0.0964366659649444
1,15.0,20.0,0.06970008954509643,0.36546324587071366,-1.4043597490165398,0.16483637831467454
2,20.0,25.0,0.08907834859950922,0.37034072466036855,-1.3311316029540108,0.23806452437720352
3,25.0,30.0,0.10828680720433613,0.3764766926020996,-1.27869234754247,0.29050377978874414
4,30.0,35.0,0.12680304159632722,0.3836998625799513,-1.2281537563504772,0.34104237098073703
5,35.0,40.0,0.14485268807733012,0.3918787031973911,-1.1740455184252272,0.3951506089059869
6,40.0,45.0,0.1638687726522547,0.4011948486474074,-1.1236113102626146,0.44558481706859965
7,45.0,50.0,0.18383596742341857,0.41228784392767737,-1.073690596419285,0.4955055309119291
8,50.0,55.0,0.20181785161406743,0.42199151491434306,-1.0291763651530872,0.5400197621781273
9,55.0,60.0,0.21404362337181182,0.4299186532845266,-0.9824986562064741,0.5866974711247398
10,60.0,65.0,0.2296844914478957,0.44203926354290607,-0.9350464983021821,0.6341496290290323
11,65.0,70.0,0.24435624859172692,0.4549508789202465,-0.8803835058983975,0.6888126214328167
