h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.04985816386241579,0.38126754575917843,2.015991412670717,0.4451974917374832
1,15.0,20.0,0.06560624592884841,0.39105385971476,2.1878295119255666,0.6170355909923324
2,20.0,25.0,0.07717706558450298,0.4062365720973496,2.3401328773464787,0.7693389564132442
3,25.0,30.0,0.0858801146816131,0.42075518271082984,2.491638346656093,0.9208444257228595
4,30.0,35.0,0.09256909922932335,0.43475790286225896,2.651272294313123,1.080478373379889
5,35.0,40.0,0.0945372612022099,0.4485989327991378,2.809180663082351,1.2383867421491168
6,40.0,45.0,0.10064859455740134,0.4909756195154331,2.9857753203954815,1.4149813994622469
7,45.0,50.0,0.10326881747898282,0.519787951587076,3.1764094208563747,1.6056154999231407
8,50.0,55.0,0.10531015787801415,0.5221539978411195,3.3548312248521173,1.784037303918883
9,55.0,60.0,0.09558185854200754,0.5374970359277156,3.5304810422691033,1.9596871213358695
10,60.0,65.0,0.08322202261636785,0.5542093766420451,3.6930635093217923,2.1222695883885576
11,65.0,70.0,0.06709717808011173,0.571728579238914,3.860920455084564,2.2901265341513293
