h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.06307605936215209,0.3710660419533784,1.7576952818610232,0.20739170429254689
1,15.0,20.0,0.08730426029461837,0.3803125821042922,1.846065619851839,0.2957620422833622
2,20.0,25.0,0.11087383457127137,0.3925835431360876,1.9406060444418152,0.3903024668733388
3,25.0,30.0,0.13205158801861483,0.4046213408280318,2.038966035455238,0.4886624578867619
4,30.0,35.0,0.1534440869912443,0.4182898963010949,2.1386959249367745,0.5883923473682978
5,35.0,40.0,0.1733861098747538,0.4334192845240162,2.244511002880461,0.6942074253119844
6,40.0,45.0,0.19276102030457853,0.4512315444847082,2.3517193259529003,0.8014157483844238
7,45.0,50.0,0.20961970814080622,0.4717550161055635,2.4456414850034665,0.8953379074349899
8,50.0,55.0,0.2342796591215695,0.49939324264506085,2.5513515829527056,1.001048005384229
9,55.0,60.0,0.24075177416316634,0.5051915837440003,2.6474582917528555,1.0971547141843794
10,60.0,65.0,0.25156684385362804,0.5302903306386958,2.7410081284190313,1.1907045508505552
11,65.0,70.0,0.2605300293862615,0.5554361336144311,2.8340849048408527,1.283781327272376
