h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.12304378185018441,0.3832182558126952,1.885501553323988,0.3291035789219388
1,15.0,20.0,0.16876827317572324,0.40303872371776434,2.0380414680113996,0.48164349360934994
2,20.0,25.0,0.21211816187677887,0.4312645317719471,2.177007916464881,0.6206099420628312
3,25.0,30.0,0.2504237822344802,0.46419503383987154,2.310739146407957,0.7543411720059079
4,30.0,35.0,0.28486338552076024,0.5013949190485741,2.451463792017333,0.8950658176152837
5,35.0,40.0,0.31388854282625644,0.5424817291845239,2.5921922954239642,1.0357943210219147
6,40.0,45.0,0.3359985304205961,0.5880475427226995,2.7476320761158344,1.1912341017137846
7,45.0,50.0,0.35010820532465686,0.6379462485660008,2.896269634811334,1.3398716604092837
8,50.0,55.0,0.36763931065161337,0.7058049897464715,3.0506751919173185,1.4942772175152692
9,55.0,60.0,0.3738906242447733,0.7330387667071301,3.191697899858223,1.6352999254561735
10,60.0,65.0,0.36538627814523034,0.7846162980453961,3.3390565835753794,1.7826586091733292
11,65.0,70.0,0.34975107130941724,0.8377754396111939,3.47382805504626,1.9174300806442108
