h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.16139934315929572,0.458427608533014,7.458935441119636,5.888141519295233
1,15.0,20.0,0.4714779743462133,0.2960686367468235,10.25922592999252,8.68843200816812
2,20.0,25.0,0.2206485235408333,0.5027934195995779,12.907111149149452,11.336317227325049
3,25.0,30.0,0.2617746400900688,0.16334029490438126,15.636622588323894,14.06582866649949
4,30.0,35.0,0.24141091083447555,0.4505284373784829,18.27488444897205,16.70409052714765
5,35.0,40.0,0.03517854765499308,0.19389714288378332,21.068027560329224,19.49723363850482
6,40.0,45.0,0.27761781544304265,0.37317638533017594,23.75653484717915,22.185740925354743
7,45.0,50.0,-0.1225448128944609,0.3850214775063383,26.475313331982292,24.904519410157885
8,50.0,55.0,0.3728021578251263,0.30941426028678826,28.904445626500802,27.333651704676402
9,55.0,60.0,-0.054729794834018027,0.6898012019251388,31.499061945459374,29.928268023634978
10,60.0,65.0,0.11543464435275212,0.1470893042713704,34.28589156178021,32.7150976399558
11,65.0,70.0,0.13000457493130563,0.7091908875726746,37.136868234953006,35.56607431312861
