h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.19921434089626988,0.3363297739357172,1.380553940353667,-0.19023998050825075
1,15.0,20.0,0.2888581906017893,0.32035999255033365,1.34378487798806,-0.22700904287385792
2,20.0,25.0,0.3742422040734481,0.3013303245608455,1.3008912302036715,-0.2699026906582467
3,25.0,30.0,0.4594669670415032,0.2763686896065024,1.2415243912267184,-0.32926952963519956
4,30.0,35.0,0.542648794721484,0.24896250123216884,1.182359460841648,-0.3884344600202704
5,35.0,40.0,0.6232874709741122,0.21615567827739277,1.1024063026014554,-0.4683876182604627
6,40.0,45.0,0.7009984908050518,0.17516227900925999,1.0109533079741022,-0.5598406128878161
7,45.0,50.0,0.7754824860137733,0.11280338081891288,0.9236094051764944,-0.6471845156854237
8,50.0,55.0,0.8257340784414575,0.060334222466798954,0.8416235662417028,-0.7291703546202156
9,55.0,60.0,0.888833465349547,0.005716060839388899,0.7737891557977145,-0.7970047650642036
10,60.0,65.0,0.9505594374338281,-0.05371227795001123,0.7111111499626656,-0.8596827708992528
11,65.0,70.0,1.0062242920574587,-0.11898141492365061,0.616555946696244,-0.9542379741656744
