h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.0692043347571846,0.3692078067168973,1.730010260041193,0.1592163393884273
1,15.0,20.0,0.0893023744888754,0.3763763223389553,1.8276652129880935,0.25687129233532846
2,20.0,25.0,0.10818182321792529,0.3878933338542451,1.920587777477589,0.3497938568248235
3,25.0,30.0,0.12440154819973394,0.40153265230030016,2.01053505893314,0.4397411382803748
4,30.0,35.0,0.13994100438996154,0.4159655402754408,2.113364305671176,0.5425703850184107
5,35.0,40.0,0.15487966053101357,0.43184825730842147,2.2152176987850227,0.6444237781322574
6,40.0,45.0,0.16642082427547675,0.4462785788005003,2.3252461925957673,0.7544522719430017
7,45.0,50.0,0.18243366667509966,0.4715193825736286,2.4342391849485696,0.8634452642958041
8,50.0,55.0,0.1923266318489052,0.48274098989173736,2.5468993589622757,0.9761054383095101
9,55.0,60.0,0.2064674365723016,0.5106136946553798,2.6574620162807854,1.0866680956280204
10,60.0,65.0,0.21369932865597702,0.539467855486248,2.7620515020897836,1.1912575814370179
11,65.0,70.0,0.21863763833003858,0.5665973857659728,2.8627077981563587,1.291913877503593
