h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.02718997893561449,0.4771438077395073,3.0425066387179656,1.4717127297253316
1,15.0,20.0,-0.0076014913164354665,0.5180427773960712,3.6747045546565675,2.1039106456639343
2,20.0,25.0,-0.07305404852454399,0.5403614192499591,4.263371016154488,2.6925771071618545
3,25.0,30.0,-0.1448546703349586,0.5266281926048518,4.824084707602118,3.2532907986094854
4,30.0,35.0,-0.1847606240449307,0.48382585266337075,5.4039991947338875,3.8332052857412537
5,35.0,40.0,-0.19296456100784176,0.4299208828836595,5.994531773634893,4.423737864642257
6,40.0,45.0,-0.18923583719318393,0.37310631774885655,6.595743849482664,5.024949940490029
7,45.0,50.0,-0.13184417550360725,0.32627966864701713,7.192732821017364,5.62193891202473
8,50.0,55.0,-0.06357429690273247,0.33016123933497704,7.83245164951714,6.261657740524507
9,55.0,60.0,-0.003250660910368041,0.3702102811710808,8.42611754514105,6.855323636148415
10,60.0,65.0,0.02295839666319366,0.43955067905204737,9.092011990775733,7.521218081783097
11,65.0,70.0,-0.0012714279160977754,0.5057287052029913,9.718216719455874,8.14742281046324
