h,t_start,t_end,com_x,com_y,orientation_rad,orientation_relative_rad
0,10.0,15.0,0.06943369691227486,0.33940158282023813,1.5076571415779498,-0.04101310236204595
1,15.0,20.0,0.09733501414864972,0.32907645468595775,1.4893429160581269,-0.059327327881869146
2,20.0,25.0,0.12493940159519319,0.31765283961740365,1.4756066749228611,-0.07306356901713475
3,25.0,30.0,0.15233869237866204,0.30558332190232934,1.469143538441555,-0.0795267054984413
4,30.0,35.0,0.180658092581677,0.29491511544644394,1.4572592422003046,-0.0914110017396911
5,35.0,40.0,0.21671097660529384,0.28105835169888105,1.4425955332983387,-0.10607471064165715
6,40.0,45.0,0.22799336484013863,0.26793527567800646,1.4343850984806397,-0.11428514545935613
7,45.0,50.0,0.24958703814437178,0.25106974881231353,1.4253672949701066,-0.12330294896988918
8,50.0,55.0,0.28547729968019975,0.23683689337227373,1.4113247024928595,-0.13734554144713673
9,55.0,60.0,0.3139390314696566,0.22412158187300446,1.4030380877662203,-0.1456321561737752
10,60.0,65.0,0.3402254377149646,0.21092709890874925,1.3954519125709688,-0.15321833136902716
11,65.0,70.0,0.36845373728995634,0.1974764688181459,1.3798036303899806,-0.16886661355001537
